track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth
aimd,50,2,14992,1474,13518,13518,26718286,41205127,48052555,286.76,16,5,1,0,512,4096,1474,type3_numa_node1,8
random,70,2,2602,2602,0,0,25546717,41251894,50007287,508.21,16,5,1,0,512,4096,2602,type3_numa_node1,8
csma,70,2,14788,1447,13341,13341,27487912,42883150,50300106,281.84,16,5,1,0,512,4096,1447,type3_numa_node1,8
aimd,70,2,15454,1548,13906,13906,25333291,39120291,46401621,303.47,16,5,1,0,512,4096,1548,type3_numa_node1,8
random,90,2,2073,2073,0,0,32677332,60014380,77276458,404.53,16,5,1,0,512,4096,2073,type3_numa_node1,8
csma,90,2,16235,1408,14827,14827,28266754,42725392,49610518,274.22,16,5,1,0,512,4096,1408,type3_numa_node1,8
aimd,90,2,15745,1406,14339,14339,27972954,41067021,46668080,272.51,16,5,1,0,512,4096,1406,type3_numa_node1,8
random,10,3,2247,2247,0,0,30994431,50392254,60749282,438.08,16,5,1,0,512,4096,2247,type3_numa_node1,8
csma,10,3,12200,1778,10422,10422,22062324,35783968,41553049,345.69,16,5,1,0,512,4096,1778,type3_numa_node1,8
aimd,10,3,12434,2388,10046,10046,15799221,35056503,40697066,468.24,16,5,1,0,512,4096,2388,type3_numa_node1,8
random,30,3,1990,1990,0,0,35073333,59598814,72324065,386.40,16,5,1,0,512,4096,1990,type3_numa_node1,8
csma,30,3,13555,1332,12223,12223,29888699,43036973,49866569,260.00,16,5,1,0,512,4096,1332,type3_numa_node1,8
aimd,30,3,13860,1480,12380,12380,26593182,39675169,44138070,289.75,16,5,1,0,512,4096,1480,type3_numa_node1,8
random,50,3,2925,2925,0,0,22595513,42011969,53648933,570.64,16,5,1,0,512,4096,2925,type3_numa_node1,8
csma,50,3,12561,2057,10504,10504,19666058,37392538,48235839,399.61,16,5,1,0,512,4096,2057,type3_numa_node1,8
aimd,50,3,14468,2159,12309,12309,18736075,35717269,42303066,419.71,16,5,1,0,512,4096,2159,type3_numa_node1,8
random,70,3,3258,3258,0,0,18065859,38936537,50073985,637.46,16,5,1,0,512,4096,3258,type3_numa_node1,8
csma,70,3,16304,1684,14620,14620,24024451,34820934,43764403,326.75,16,5,1,0,512,4096,1684,type3_numa_node1,8
aimd,70,3,17314,1578,15736,15736,25442674,35234415,41798959,306.50,16,5,1,0,512,4096,1578,type3_numa_node1,8
random,90,3,1759,1759,0,0,40537999,64623234,80948207,341.63,16,5,1,0,512,4096,1759,type3_numa_node1,8
csma,90,3,15846,1401,14445,14445,28585051,38411786,42979140,272.62,16,5,1,0,512,4096,1401,type3_numa_node1,8
aimd,90,3,16939,1693,15246,15246,24157371,36848140,43285142,327.91,16,5,1,0,512,4096,1693,type3_numa_node1,8
